Area,Parent,Name,Route,Type,Params,Entry Points,Secondary Entries,Auth,Context,Purpose,Functionality,Actions,Tabs,Modals,Data Source,Backend,Status,Visibility,Source File,Route File,Notes,Matrix Row ID,PP Equivalent Name,PP Route(s) Today,PP Route Exists,PP Source File(s),PP Nav Entry Point,PP Auth / Role Gate,PP Data Source,PP Backend Endpoint / Function,PP Backend Connected,PP Functional Status,Match Status,Match Confidence,UI Parity,Functional Parity,Route Decision,Target PP Route (Decided),Naming Decision (Label To Use),Nav Placement Decision,Deep Link Pattern,Lovable-Only Feature,Fake-Backend Risk,Preserve-PermitPilot-Logic Notes,Do-Not-Replicate Reason,Required Backend Work,Required Frontend Work,Blocking Dependencies,Priority,Risk,Effort,Phase,Acceptance Criteria,Test / Verification Hook,Owner Decision Needed,Audit Notes
Command,Projects,Project Gantt,/projects/:id/gantt,dynamic,:id,Project Workspace → Gantt,direct URL,signed-in,selected project (:id),Gantt chart view,View schedule,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/ProjectGantt.tsx,src/App.tsx,—,L011,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,Undecided,n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.",A Gantt chart needs task dependencies and durations that PermitPilot does not model at all.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,Depends on L010 (milestone model) plus a dependency/duration model.,P3,Medium,L,Backlog — lowest tier,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,No PermitPilot scheduling domain exists.
Command,Projects,Project Workspace (Alpha),/projects/alpha,static,none,CommandCenter → Open project,direct URL,signed-in,hard-coded 'alpha' project,Single project workspace demo,View project tabs,navigate,—,—,static mock,Mock,Mock,direct URL only,src/pages/ProjectWorkspace.tsx,src/App.tsx,No dynamic route for arbitrary project ids.,L012,Project detail (not implemented; list-only today),/projects (list only),No,src/pages/Projects.tsx,Not present in PermitPilot navigation,n/a — surface does not exist,Supabase projects,None,Yes (for the list),"List exists, detail route missing",Missing in PermitPilot,High,None — no detail page,Weak — real project rows exist but there is no detail view over them,Add PP route,"/projects/:id (proposed, not yet built)","Use ""Project workspace"" if built","Reached from the project list, never from the sidebar",n/a,Yes,"Medium — must be built over the real projects table, not a hard-coded id",Any detail route must read the real project by id under RLS.,"PermitPilot has no per-project detail route yet; Lovable's version is hard-coded to a fake 'alpha' project, which must not be copied.",None — the projects table already supports a detail read.,"Build a real /projects/:id detail page bound to the existing project query, replacing the list-only pattern.",Should follow the Phase 3 Projects restyle so the detail page inherits final styling.,P2,Medium,M,Phase 6 — structural follow-ups,/projects/:id loads a real project under RLS; no hard-coded project id exists anywhere in the codebase.,Manual navigation from the project list to detail with a demo account,No,Lovable's own inventory flags the /projects/alpha hard-coding as a structural gap.
Command,—,Mission Control,/mission-control,static,none,direct URL,—,signed-in,none,Master ops dashboard,View operations,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/MissionControl.tsx,src/App.tsx,—,L013,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — this is the single most convincing fake surface in the Lovable app; it would look authoritative while showing nothing real,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Directive: 'Do NOT replicate as fake backends: Mission Control page'. The real rollup path is the /dashboard and /uci hubs over live project data.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,"Also surfaced as UCI section ""portfolio"" (see L043-style coming-soon handling) with note 'firm-wide quarterly Mission Control is not connected yet'."
Command,—,Command Center,/command-center,static,none,direct URL,—,signed-in,none,Executive command dashboard,Navigate to project workspace,navigate,—,—,static mock,Mock,Mock,direct URL only,src/pages/CommandCenter.tsx,src/App.tsx,—,L014,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Fold any executive framing into /dashboard (L005) instead.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,Medium,L,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable's Command Center exists only to link to /projects/alpha.
Command,—,Permit Queue,/permit-queue,static,none,sidebar → Command › Permit Queue,direct URL,signed-in,none,Filing queue,Browse permits,view only,—,—,static mock,Mock,Mock,always visible,src/pages/PermitQueue.tsx,src/App.tsx,Sidebar shows badge 18.,L015,Permit Queue (placeholder),/permit-queue,Yes — placeholder page,src/pages/placeholders/PermitQueuePlaceholder.tsx,Sidebar → Permit Queue,Signed-in via ProtectedLayoutRoute,None — labelled placeholder,None yet; permit_applications and permit-status-monitor are the eventual source,None,Placeholder (labelled),UI match only,High,"Weak — PermitPilot renders an honest placeholder, Lovable renders a mock queue",None on both sides — Lovable's queue is fabricated,Keep PP route,/permit-queue,"Keep ""Permit Queue""","Command group in the sidebar, as today",n/a,No,High — the obvious temptation is to fill the placeholder with Lovable's mock rows,Preserve the placeholder's explicit 'not connected' labelling until a real query exists.,Do not replicate Lovable's hard-coded sidebar badge of 18; a badge must count real rows or not exist.,Build a cross-project filing queue query over permit_applications with real status and owner fields.,"Once the query exists, adopt Lovable's queue table styling. Until then, restyle the placeholder only.",Needs an agreed queue definition (which statuses belong in the queue).,P2,Medium,M,Phase 6 — structural follow-ups,"Either the page shows real permit rows, or it remains an explicitly labelled placeholder. No fabricated badge count.",Grep for hard-coded badge counts in the sidebar; manual visit to /permit-queue,Yes — queue scope needs a product definition,src/App.tsx line 163 uses PermitQueuePlaceholder.
Command,—,Critical Path,/critical-path,static,none,direct URL,—,signed-in,none,Critical-path analysis,View chart,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/CriticalPath.tsx,src/App.tsx,—,L016,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build. Depends on the same scheduling domain as L010/L011, which does not exist.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Command,—,Feasibility,/feasibility,static,none,direct URL,—,signed-in,none,Phase-0 feasibility,Overview cards,navigate,—,—,static mock,Mock,Mock,direct URL only,src/pages/Feasibility.tsx,src/App.tsx,—,L017,"Permit Intelligence (adjacent, not equivalent)",/permit-intelligence,No,src/pages/PermitIntelligence.tsx,Not present in PermitPilot navigation,n/a — surface does not exist,Shovels API permit history,shovels-api; property-intelligence-agent,"Yes (for permit intelligence, not feasibility)",Adjacent surface exists,Missing in PermitPilot,High,None — no PermitPilot surface to compare,Weak — real property/permit intelligence exists but no feasibility scoring,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.",Phase-0 feasibility is a genuine product idea but has no PermitPilot data model; PermitPilot's closest real capability is /permit-intelligence.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,Needs a feasibility scoring model and an owner.,P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Consider whether /permit-intelligence already satisfies the client's feasibility intent before building anything new.
Command,Feasibility,Site Feasibility,/feasibility/site,static,none,Feasibility → Site,direct URL,signed-in,none,Site analysis,Interactive scoring,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/SiteFeasibility.tsx,src/App.tsx,—,L018,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.",Interactive site scoring requires a scoring model PermitPilot does not have; Lovable's scores are invented.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,Depends on L017.,P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable page is mock.
Onboarding,—,Client Authorization (LOA),/onboarding/authorization,static,none,sidebar → Onboarding › Client Authorization (LOA),/delivery/authorization (aliased),signed-in client,none,Sign LOA,Typed/drawn signature → PDF + storage,"create, submit",—,Signature dialog,Supabase + Storage,Fully connected,Working,always visible,src/pages/OnboardingAuthorization.tsx,src/App.tsx,—,L019,Admin authorizations (Preview placeholder only),/admin/authorizations (placeholder),No — no client signing route,src/pages/placeholders/AdminPreviewPlaceholders.tsx,Admin console card,Signed-in admin area,None — placeholder,None. PermitPilot has document storage and PDF paths but no client_authorizations table.,None,"Placeholder (labelled Preview only, PD-5)",Missing in PermitPilot,High,None — no signing UI,None — no authorization records,Defer,Undecided — would need /onboarding/authorization plus a real table,"If built, use ""Client Authorization (LOA)""","Onboarding group, client role only",n/a,Yes,"High — a signature UI that does not produce a stored, retrievable legal artifact is the worst possible fake",Preserve the existing placeholder's explicit 'Preview only' labelling so no one treats it as live.,"PermitPilot has no client-facing LOA signing route. /admin/authorizations is a Preview placeholder only, so there is no live authorization pipeline to attach a signing page to.","client_authorizations table, RLS, signature-to-PDF generation, storage bucket and retention policy.",None until the backend and legal review exist.,Legal review of e-signature handling; a records-retention decision; a client_authorizations schema.,P2,High,L,Backlog — requires legal sign-off before scoping,"Not scoped. Requires legal approval, a schema and an update to this row.",n/a — nothing to test until scope changes,Yes — legal and product sign-off required for e-signature capture,Directive confirmed: admin LOA/members/audit are Preview placeholders in PermitPilot and must not be presented as connected.
Delivery,—,Client Authorization (LOA),/delivery/authorization,redirect,none,sidebar → Delivery › Client Authorization (LOA),direct URL,signed-in client,none,Alias of onboarding LOA,Sign LOA,"create, submit",—,—,Supabase,Fully connected,Working,always visible,src/pages/OnboardingAuthorization.tsx,src/App.tsx,Duplicate route alias — inconsistency risk.,L020,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — duplicate routes over legal artifacts invite divergent behavior,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build. One canonical LOA route only, if and when L019 is approved.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,Low,S,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable notes: 'Duplicate route alias — inconsistency risk.'
